event date,volunteer number,event budge,event type,volunteer certification,total number,event location,volunteer's bonus,volunteer's score,satisfy
1/8/2015,35,1000,Concert,Y,100,North Vancouver,110,20,Y
4/12/2015,17,4000,Museum Tour Guide,Y,500,West Vancouver,445,10,Y
7/22/2015,31,4000,Study buddy Tutor,Y,600,Richmond,120,30,Y
10/15/2015,26,1000,Development Volunteer,Y,100,Maple Ridge,41,40,Y
10/3/2015,40,1000,Contest,Y,50,West Vancouver,32,40,Y
1/30/2015,38,1000,Community Visitor,Y,200,Richmond,320,40,Y
4/11/2015,36,3000,Graphic Design,Y,400,Langley,305,20,Y
6/11/2015,13,3000,Health Product Study,Y,100,Vancouver,165,30,N
5/28/2015,38,4000,Recreation Assistants,Y,100,Maple Ridge,389,50,Y
9/4/2015,19,4000,Community Visitor,Y,50,West Vancouver,342,50,Y
2/13/2015,24,4000,Graphic Design,Y,50,West Vancouver,137,40,N
3/10/2015,19,4000,Museum Tour Guide,Y,300,Burnaby,385,30,Y
7/4/2015,13,2000,Equipment Sorter,Y,300,West Vancouver,105,10,Y
5/17/2015,36,3000,In-School Mentor,Y,100,North Vancouver,245,50,Y
4/24/2015,40,4000,Office Volunteer,N,50,New Westminster,104,10,Y
5/16/2015,34,4000,Concert,Y,500,Vancouver,281,20,Y
8/12/2015,29,4000,In-School Mentor,Y,400,Coquitlam,422,10,Y
5/28/2015,13,1000,Childcare,Y,50,Langley,120,20,Y
8/8/2015,33,1000,Survey,Y,50,West Vancouver,161,10,Y
6/16/2015,10,4000,Health Product Study,Y,100,Coquitlam,385,40,Y
7/20/2015,31,1000,Fundraising,Y,100,Maple Ridge,440,10,N
7/17/2015,19,3000,Competition,Y,100,West Vancouver,170,30,Y
6/18/2015,16,4000,Concert,N,400,New Westminster,465,10,Y
7/13/2015,19,2000,Training,Y,300,Maple Ridge,249,50,Y
10/29/2015,28,2000,Food Hamper Volunteer,Y,500,Langley,352,50,Y
6/9/2015,34,3000,Special Event,Y,500,New Westminster,46,50,Y
8/26/2015,30,4000,Recreation Assistants,Y,50,Langley,395,50,Y
2/5/2015,34,4000,Chamber of Commerce,Y,600,Langley,398,10,Y
2/1/2015,30,4000,Survey,Y,500,Maple Ridge,44,40,Y
2/4/2015,18,1000,Fitness Class,Y,300,Richmond,316,40,Y
4/12/2015,21,4000,Seniors Centre Volunteer,Y,50,Burnaby,202,40,Y
8/5/2015,25,3000,Health Product Study,Y,200,Coquitlam,298,40,Y
9/11/2015,26,2000,Seniors Centre Volunteer,N,500,Richmond,233,50,Y
1/14/2015,31,1000,Food Hamper Volunteer,Y,300,Burnaby,446,30,Y
4/1/2015,30,1000,Survey,Y,400,Maple Ridge,285,10,Y
9/8/2015,15,3000,Seniors Centre Volunteer,Y,600,Langley,462,20,Y
5/24/2015,10,4000,Urban Native Youth Association,Y,50,North Vancouver,208,40,Y
3/28/2015,34,3000,Development Volunteer,Y,400,West Vancouver,85,40,Y
5/18/2015,32,3000,Social Media,N,300,New Westminster,109,20,Y
8/8/2015,16,2000,Meals on Wheels Volunteer,Y,300,Maple Ridge,172,30,N
3/21/2015,35,3000,Food Hamper Volunteer,Y,500,New Westminster,86,20,Y
10/22/2015,36,1000,Urban Native Youth Association,Y,400,New Westminster,128,30,Y
6/10/2015,14,3000,Childcare,Y,400,Vancouver,355,30,Y
10/20/2015,14,4000,Childcare,Y,200,North Vancouver,174,10,Y
1/10/2015,26,3000,Market Volunteer,Y,50,Coquitlam,260,10,Y
8/27/2015,16,4000,Cultural event,N,100,New Westminster,421,50,Y
8/22/2015,16,4000,Festival,Y,600,Coquitlam,20,40,Y
6/16/2015,25,1000,Competition,Y,600,Burnaby,476,10,Y
2/3/2015,30,4000,Conference,Y,200,Coquitlam,479,20,Y
2/8/2015,32,1000,Survey,Y,400,Richmond,299,20,Y
10/18/2015,28,2000,Recreation Assistants,Y,500,North Vancouver,299,50,Y
1/5/2015,34,4000,Conference,N,300,West Vancouver,287,20,Y
6/27/2015,12,1000,Cultural event,Y,300,West Vancouver,305,40,Y
6/13/2015,18,1000,Fundraising,Y,300,West Vancouver,353,40,Y
10/8/2015,20,1000,Childen Program,Y,400,North Vancouver,342,10,Y
10/10/2015,26,2000,Charitable Donations,Y,300,Coquitlam,113,20,Y
5/25/2015,38,2000,Meals on Wheels Volunteer,Y,400,Maple Ridge,357,50,Y
5/10/2015,19,4000,Chamber of Commerce,Y,400,West Vancouver,382,30,N
3/17/2015,35,2000,Health Product Study,Y,400,Coquitlam,344,30,Y
3/12/2015,27,1000,Equipment Sorter,Y,300,New Westminster,20,20,Y
1/23/2015,11,2000,Speech,Y,400,North Vancouver,391,30,N
8/28/2015,24,3000,Childcare,Y,500,West Vancouver,193,40,Y
10/19/2015,12,2000,Childen Program,Y,100,North Vancouver,141,30,Y
1/9/2015,38,3000,Contest,Y,200,Coquitlam,201,30,Y
3/27/2015,13,1000,Conference,Y,300,Maple Ridge,411,40,N
8/11/2015,13,4000,Health Product Study,Y,600,New Westminster,262,20,Y
4/22/2015,36,1000,Food Hamper Volunteer,N,50,Coquitlam,353,40,N
1/10/2015,35,3000,Urban Native Youth Association,Y,50,Vancouver,296,50,Y
4/27/2015,29,4000,Chamber of Commerce,Y,50,Burnaby,492,50,Y
9/12/2015,11,4000,Health Product Study,N,500,Langley,430,40,Y
2/19/2015,29,1000,Speech,Y,200,Maple Ridge,438,50,Y
2/10/2015,31,2000,Festival,Y,300,West Vancouver,410,10,Y
8/10/2015,13,3000,Seniors Centre Volunteer,Y,600,Maple Ridge,331,40,Y
5/8/2015,37,2000,Childen Program,Y,100,New Westminster,207,20,Y
2/16/2015,28,2000,Competition,Y,50,West Vancouver,323,30,Y
1/30/2015,22,3000,Competition,Y,200,Langley,241,40,Y
9/26/2015,19,3000,Market Volunteer,N,600,Langley,64,40,Y
2/8/2015,35,1000,Childen Program,Y,600,Vancouver,402,40,Y
5/5/2015,17,2000,Equipment Sorter,Y,400,New Westminster,115,40,Y
6/9/2015,19,3000,Contest,Y,500,West Vancouver,359,20,N
1/25/2015,12,1000,In-School Mentor,Y,400,Burnaby,432,40,Y
2/25/2015,13,4000,Competition,Y,200,New Westminster,497,50,Y
7/18/2015,31,1000,Fitness Class,Y,50,Vancouver,281,10,Y
6/22/2015,32,2000,Urban Native Youth Association,Y,600,Burnaby,134,40,Y
2/8/2015,36,1000,Competition,Y,300,Coquitlam,149,30,Y
5/26/2015,34,3000,Conference,Y,100,Maple Ridge,312,30,Y
8/14/2015,23,2000,Childcare,Y,400,Burnaby,72,40,Y
10/24/2015,18,4000,Food Hamper Volunteer,Y,200,Richmond,11,50,Y
2/10/2015,24,1000,Childcare,Y,600,North Vancouver,434,20,Y
8/23/2015,37,3000,Social Media,Y,600,Maple Ridge,52,40,Y
7/5/2015,28,3000,Meals on Wheels Volunteer,Y,400,West Vancouver,343,20,Y
5/17/2015,19,2000,Festival,Y,100,Langley,101,40,N
1/11/2015,30,1000,Chamber of Commerce,Y,300,West Vancouver,483,50,Y
3/17/2015,13,2000,Cultural event,Y,100,Coquitlam,480,20,Y
3/16/2015,18,4000,Fundraising,N,100,North Vancouver,223,40,Y
8/27/2015,38,2000,Fitness Class,Y,50,Coquitlam,82,10,N
4/1/2015,29,3000,Competition,Y,200,New Westminster,123,10,Y
3/17/2015,12,2000,Special Event,Y,200,New Westminster,249,40,Y
10/29/2015,38,4000,Food Hamper Volunteer,N,400,Maple Ridge,431,50,Y
1/12/2015,34,4000,Festival,Y,600,Coquitlam,416,50,Y
5/1/2015,16,3000,Charitable Donations,Y,50,West Vancouver,69,10,N
4/6/2015,17,4000,Fitness Class,Y,50,Richmond,169,20,Y
2/23/2015,31,2000,Fundraising,Y,600,North Vancouver,250,40,Y
6/23/2015,21,4000,Big Sister Program,Y,200,Maple Ridge,124,10,Y
1/1/2015,14,2000,Meals on Wheels Volunteer,Y,100,West Vancouver,114,40,Y
3/5/2015,31,3000,Parade,Y,100,Langley,450,20,Y
4/13/2015,38,1000,Social Media,Y,600,West Vancouver,298,10,Y
4/20/2015,22,1000,Training,Y,100,New Westminster,447,50,Y
3/18/2015,11,4000,Fitness Class,Y,400,Richmond,129,30,Y
2/8/2015,18,4000,Social Media,Y,200,Burnaby,70,10,Y
9/19/2015,39,2000,In-School Mentor,Y,50,North Vancouver,255,20,Y
6/2/2015,23,4000,Food Hamper Volunteer,Y,600,Burnaby,87,30,Y
4/14/2015,27,3000,Charitable Donations,Y,500,Vancouver,319,20,Y
10/10/2015,19,4000,Parade,Y,200,West Vancouver,394,20,Y
10/30/2015,39,1000,Party,Y,500,North Vancouver,141,20,Y
4/5/2015,31,4000,Fundraising,Y,300,Coquitlam,166,20,Y
7/22/2015,38,3000,Museum Tour Guide,Y,600,North Vancouver,57,50,Y
3/24/2015,26,1000,Festival,Y,400,New Westminster,242,50,Y
3/6/2015,23,1000,Office Volunteer,Y,50,Coquitlam,158,40,Y
9/13/2015,13,3000,Special Event,Y,100,Richmond,48,20,Y
10/24/2015,25,3000,In-School Mentor,Y,600,Richmond,369,50,Y
6/7/2015,33,1000,Social Media,N,100,Burnaby,422,50,Y
5/13/2015,18,2000,Food Hamper Volunteer,Y,50,West Vancouver,226,50,N
7/26/2015,20,2000,Development Volunteer,Y,300,Vancouver,167,10,N
5/25/2015,38,1000,Special Event,Y,50,Langley,322,40,Y
1/25/2015,21,2000,Party,Y,500,Langley,379,20,Y
7/20/2015,38,2000,Contest,Y,400,Richmond,489,30,Y
9/5/2015,18,1000,Competition,Y,500,Richmond,39,10,Y
1/28/2015,17,4000,Office Volunteer,Y,100,New Westminster,168,40,Y
3/25/2015,13,3000,Social Media,Y,200,Vancouver,471,10,Y
10/15/2015,22,1000,Food Hamper Volunteer,Y,200,Maple Ridge,453,40,Y
3/20/2015,27,4000,Contest,Y,200,Burnaby,466,30,Y
2/28/2015,40,1000,Study buddy Tutor,Y,100,Maple Ridge,366,50,Y
6/10/2015,39,1000,Speech,Y,200,Burnaby,58,10,Y
9/20/2015,30,4000,Meals on Wheels Volunteer,Y,500,Maple Ridge,298,50,Y
7/18/2015,19,2000,Parade,Y,500,Burnaby,179,50,Y
6/4/2015,19,3000,Museum Tour Guide,Y,200,Maple Ridge,168,20,Y
6/10/2015,16,1000,Meals on Wheels Volunteer,Y,300,Langley,405,50,Y
9/29/2015,22,3000,Health Product Study,N,200,Maple Ridge,343,30,Y
1/5/2015,26,2000,In-School Mentor,Y,50,Vancouver,71,10,N
9/10/2015,35,3000,Market Volunteer,Y,400,West Vancouver,461,20,N
10/14/2015,32,1000,Urban Native Youth Association,Y,400,New Westminster,368,20,Y
10/28/2015,30,1000,Study buddy Tutor,Y,100,West Vancouver,413,10,Y
3/26/2015,12,3000,Fundraising,Y,300,West Vancouver,163,20,Y
7/16/2015,30,4000,Social Media,Y,500,Langley,239,20,Y
9/10/2015,11,2000,Social Media,Y,50,Coquitlam,181,50,Y
6/1/2015,34,4000,Graphic Design,Y,100,North Vancouver,343,10,Y
1/7/2015,23,2000,Training,Y,200,Langley,465,50,Y
2/4/2015,31,4000,Special Event,Y,50,Burnaby,79,40,Y
7/22/2015,12,4000,Special Event,N,200,North Vancouver,373,40,Y
2/22/2015,13,2000,Meals on Wheels Volunteer,Y,100,Burnaby,334,40,Y
4/20/2015,27,1000,Study buddy Tutor,Y,500,Richmond,27,40,Y
1/2/2015,34,1000,Training,Y,200,Maple Ridge,474,20,Y
10/18/2015,37,1000,Party,Y,400,Maple Ridge,243,30,Y
3/14/2015,20,4000,Chamber of Commerce,Y,600,West Vancouver,203,50,Y
3/2/2015,24,3000,Survey,Y,200,North Vancouver,81,30,Y
6/8/2015,25,2000,Museum Tour Guide,N,500,Richmond,19,50,Y
5/29/2015,13,1000,Concert,Y,400,Burnaby,146,20,Y
6/10/2015,37,4000,Equipment Sorter,Y,50,Burnaby,212,30,N
10/14/2015,20,3000,Graphic Design,Y,600,North Vancouver,199,40,Y
2/2/2015,21,2000,Concert,Y,600,Richmond,129,30,Y
3/29/2015,29,4000,Competition,Y,500,West Vancouver,214,20,Y
8/28/2015,19,3000,Seniors Centre Volunteer,Y,400,Maple Ridge,191,30,Y
1/8/2015,22,2000,Contest,Y,100,Richmond,159,10,N
8/13/2015,21,2000,Meals on Wheels Volunteer,Y,600,Vancouver,31,10,Y
3/21/2015,39,4000,Training,Y,200,Richmond,202,10,Y
5/8/2015,27,1000,Festival,Y,200,West Vancouver,95,40,Y
1/30/2015,40,1000,Fitness Class,Y,500,Burnaby,49,20,Y
8/19/2015,27,4000,Concert,Y,600,Vancouver,114,20,Y
1/18/2015,29,1000,Study buddy Tutor,Y,500,North Vancouver,119,40,N
6/23/2015,36,3000,Childen Program,Y,600,New Westminster,426,20,Y
5/2/2015,10,1000,Concert,Y,400,Maple Ridge,108,10,Y
4/3/2015,25,3000,Study buddy Tutor,Y,400,North Vancouver,131,40,Y
1/17/2015,25,4000,Special Event,N,500,Burnaby,208,30,Y
9/21/2015,12,4000,Conference,N,300,New Westminster,45,10,Y
7/7/2015,27,1000,Speech,Y,500,Langley,405,40,Y
1/5/2015,22,3000,Festival,Y,50,North Vancouver,205,40,N
9/19/2015,37,1000,Conference,N,50,Vancouver,488,20,Y
9/11/2015,20,4000,Training,Y,400,Vancouver,361,30,Y
4/15/2015,37,3000,Contest,N,300,Maple Ridge,80,30,Y
7/21/2015,21,3000,Party,Y,50,North Vancouver,337,20,Y
5/16/2015,21,2000,Meals on Wheels Volunteer,Y,400,Vancouver,306,50,Y
9/15/2015,12,4000,Cultural event,Y,100,Richmond,421,50,Y
4/17/2015,35,1000,Conference,Y,200,Vancouver,378,30,N
9/15/2015,21,4000,Survey,Y,100,Burnaby,388,50,Y
3/15/2015,17,3000,Study buddy Tutor,Y,600,Vancouver,431,40,Y
2/30/2015,40,2000,Fitness Class,N,300,Richmond,118,10,Y
2/12/2015,34,2000,Conference,Y,500,Maple Ridge,391,40,Y
6/7/2015,35,3000,Social Media,N,400,Langley,423,40,Y
3/8/2015,37,2000,Nature House Volunteer,Y,100,New Westminster,258,20,Y
1/6/2015,25,3000,Training,Y,400,Vancouver,69,20,Y
7/19/2015,32,3000,Recreation Assistants,Y,400,New Westminster,423,50,Y
9/18/2015,10,4000,Speech,Y,400,Maple Ridge,76,50,Y
10/26/2015,36,4000,Office Volunteer,Y,400,Maple Ridge,277,50,Y
5/19/2015,26,3000,Parade,Y,500,Burnaby,434,20,Y
4/10/2015,37,1000,Conference,Y,400,Burnaby,86,40,Y
5/3/2015,35,3000,Fitness Class,Y,50,Burnaby,25,30,N
5/12/2015,37,4000,Chamber of Commerce,Y,50,West Vancouver,41,20,Y
3/26/2015,34,4000,Graphic Design,Y,400,Maple Ridge,262,10,Y
8/4/2015,22,4000,Food Hamper Volunteer,Y,200,West Vancouver,163,20,Y
7/29/2015,36,4000,Concert,Y,200,North Vancouver,390,20,N
9/6/2015,10,4000,Contest,Y,400,Coquitlam,76,30,Y
9/23/2015,29,4000,Contest,Y,200,New Westminster,383,40,Y
10/1/2015,13,2000,Childen Program,Y,600,Burnaby,239,10,Y
4/12/2015,10,3000,Chamber of Commerce,Y,600,Vancouver,16,10,Y
5/6/2015,26,1000,In-School Mentor,Y,50,North Vancouver,204,50,Y
9/21/2015,38,1000,Special Event,Y,400,Coquitlam,364,30,N
6/19/2015,20,4000,Market Volunteer,Y,100,Langley,193,40,N
10/5/2015,27,4000,In-School Mentor,Y,200,New Westminster,313,20,Y
10/11/2015,17,4000,Competition,Y,600,North Vancouver,292,50,Y
1/11/2015,38,3000,Survey,Y,500,Richmond,12,50,Y
10/26/2015,24,1000,Big Sister Program,Y,200,Coquitlam,394,30,N
5/19/2015,23,3000,Visual Arts Committee,Y,200,Vancouver,498,40,Y
2/1/2015,35,3000,Urban Native Youth Association,Y,400,Burnaby,119,50,Y
1/22/2015,36,2000,Training,Y,500,Coquitlam,498,50,Y
4/17/2015,21,3000,Childen Program,Y,50,New Westminster,156,50,Y
10/18/2015,29,4000,Concert,Y,50,Burnaby,399,30,Y
7/3/2015,12,2000,Cultural event,N,100,North Vancouver,75,10,N
8/18/2015,13,1000,Graphic Design,Y,300,Burnaby,255,10,Y
8/8/2015,34,2000,Concert,Y,200,Coquitlam,206,40,Y
5/12/2015,19,1000,Festival,Y,100,Maple Ridge,283,20,Y
9/29/2015,16,1000,Childcare,Y,500,North Vancouver,94,20,Y
9/7/2015,17,2000,Survey,Y,500,Langley,114,10,Y
6/6/2015,39,1000,Contest,Y,400,Vancouver,294,30,Y
6/5/2015,18,2000,Graphic Design,Y,50,New Westminster,246,10,Y
1/26/2015,34,2000,Development Volunteer,Y,200,Burnaby,313,30,Y
7/13/2015,17,1000,Recreation Assistants,Y,400,West Vancouver,87,10,N
3/25/2015,29,2000,Development Volunteer,N,400,Maple Ridge,253,30,Y
9/7/2015,30,4000,Health Product Study,N,200,Maple Ridge,173,10,Y
1/28/2015,38,1000,Childen Program,Y,400,North Vancouver,185,50,Y
3/17/2015,12,3000,Graphic Design,Y,300,Maple Ridge,351,40,Y
6/14/2015,25,3000,Community Visitor,Y,500,Richmond,350,10,Y
4/15/2015,29,3000,Visual Arts Committee,Y,600,Richmond,267,30,Y
9/1/2015,29,2000,Special Event,Y,50,Burnaby,283,20,Y
7/27/2015,33,1000,Survey,Y,600,North Vancouver,154,20,N
1/25/2015,25,3000,Festival,Y,300,Coquitlam,89,40,Y
3/25/2015,13,2000,Festival,N,600,Burnaby,38,10,Y
9/2/2015,20,3000,Development Volunteer,Y,400,West Vancouver,423,20,Y
8/26/2015,29,4000,Survey,Y,500,Coquitlam,235,50,Y
4/13/2015,13,1000,Childen Program,Y,500,Maple Ridge,62,30,Y
1/26/2015,31,2000,Food Hamper Volunteer,Y,300,Maple Ridge,145,30,Y
1/15/2015,20,2000,Development Volunteer,Y,500,Richmond,150,50,Y
2/2/2015,10,4000,Food Hamper Volunteer,Y,400,Richmond,18,50,Y
9/10/2015,24,4000,Health Product Study,Y,200,Coquitlam,53,30,Y
6/23/2015,25,3000,Visual Arts Committee,Y,400,Langley,41,10,N
7/16/2015,39,3000,Seniors Centre Volunteer,Y,400,Richmond,76,10,Y
10/27/2015,32,3000,In-School Mentor,Y,500,North Vancouver,140,20,Y
6/22/2015,15,2000,Cultural event,N,100,Richmond,243,40,Y
3/1/2015,30,4000,Graphic Design,Y,50,Maple Ridge,15,40,Y
9/26/2015,12,2000,Food Hamper Volunteer,Y,200,Maple Ridge,300,10,Y
7/22/2015,39,1000,Office Volunteer,Y,300,Maple Ridge,178,40,Y
7/23/2015,40,4000,Charitable Donations,Y,300,New Westminster,17,20,Y
10/10/2015,28,2000,Contest,Y,200,Burnaby,289,50,Y
3/2/2015,16,1000,Conference,Y,100,Coquitlam,88,30,Y
4/2/2015,32,1000,Urban Native Youth Association,N,200,West Vancouver,241,30,Y
1/15/2015,19,1000,Health Product Study,Y,400,New Westminster,213,10,Y
8/7/2015,26,1000,Museum Tour Guide,Y,300,West Vancouver,372,50,Y
5/24/2015,12,3000,Social Media,Y,100,Coquitlam,24,40,Y
3/9/2015,25,3000,Study buddy Tutor,Y,600,Burnaby,20,40,Y
5/2/2015,40,3000,Cultural event,Y,400,New Westminster,398,40,Y
5/30/2015,21,4000,Community Visitor,Y,400,Maple Ridge,196,50,Y
6/21/2015,17,1000,Childcare,Y,100,Richmond,119,10,Y
10/30/2015,17,4000,Meals on Wheels Volunteer,Y,500,Richmond,298,20,Y
2/3/2015,22,1000,Party,N,100,New Westminster,331,30,Y
6/24/2015,28,1000,Special Event,Y,400,Burnaby,35,10,Y
8/29/2015,10,3000,Social Media,Y,200,North Vancouver,272,50,Y
5/19/2015,35,4000,Survey,Y,200,Langley,93,50,Y
5/6/2015,38,1000,Visual Arts Committee,Y,100,Burnaby,157,20,Y
1/25/2015,35,3000,Recreation Assistants,Y,400,Burnaby,183,40,Y
4/17/2015,15,1000,Office Volunteer,Y,300,Langley,446,50,Y
2/1/2015,32,2000,Food Hamper Volunteer,Y,400,North Vancouver,174,10,Y
6/6/2015,39,3000,Visual Arts Committee,Y,400,Coquitlam,135,20,Y
2/14/2015,25,2000,Fitness Class,Y,500,Burnaby,285,40,Y
7/25/2015,37,3000,Childcare,Y,50,New Westminster,462,50,Y
2/27/2015,35,3000,Development Volunteer,Y,50,West Vancouver,83,10,Y
1/16/2015,24,3000,Community Visitor,Y,50,New Westminster,460,10,Y
2/5/2015,24,3000,Charitable Donations,Y,400,Maple Ridge,247,10,Y
8/21/2015,14,3000,Development Volunteer,Y,300,West Vancouver,398,20,Y
2/2/2015,12,3000,Festival,Y,400,North Vancouver,461,50,Y
6/9/2015,14,4000,Party,Y,300,Burnaby,476,50,Y
7/6/2015,37,2000,Graphic Design,Y,300,Maple Ridge,229,40,Y
7/29/2015,21,4000,Food Hamper Volunteer,Y,300,Coquitlam,36,30,Y
7/6/2015,10,3000,Food Hamper Volunteer,Y,50,West Vancouver,277,40,Y
1/7/2015,15,4000,Fitness Class,Y,400,Vancouver,370,50,Y
7/19/2015,38,2000,Chamber of Commerce,Y,100,Vancouver,137,20,Y
3/12/2015,23,1000,Health Product Study,Y,500,Vancouver,318,30,Y
8/2/2015,40,2000,Social Media,Y,50,North Vancouver,485,20,Y
3/7/2015,40,3000,Concert,N,500,Burnaby,67,40,Y
9/28/2015,30,1000,Market Volunteer,Y,50,Coquitlam,239,30,Y
2/12/2015,30,3000,Fitness Class,Y,200,North Vancouver,387,20,Y
7/11/2015,36,3000,Fitness Class,Y,500,Langley,77,30,Y
5/12/2015,17,1000,Parade,Y,200,Vancouver,417,30,Y
6/27/2015,39,1000,Competition,Y,600,Vancouver,260,20,Y
10/20/2015,33,4000,Market Volunteer,Y,300,Coquitlam,381,20,Y
10/24/2015,18,4000,Meals on Wheels Volunteer,N,300,Langley,33,20,Y
7/22/2015,20,2000,Fitness Class,Y,500,Maple Ridge,399,40,N
1/8/2015,33,1000,Community Visitor,N,500,New Westminster,309,20,Y
2/2/2015,40,1000,Graphic Design,Y,100,Vancouver,180,40,Y
9/4/2015,24,2000,Nature House Volunteer,Y,600,New Westminster,356,20,Y
4/14/2015,31,4000,Parade,Y,300,North Vancouver,282,10,Y
10/1/2015,11,3000,Social Media,Y,500,Burnaby,19,40,Y
5/5/2015,13,4000,Childcare,Y,600,Vancouver,171,30,Y
7/24/2015,25,3000,Recreation Assistants,Y,100,West Vancouver,348,10,Y
5/7/2015,28,3000,Charitable Donations,Y,600,Burnaby,443,50,Y
7/13/2015,21,2000,Chamber of Commerce,Y,50,West Vancouver,347,20,Y
7/14/2015,34,4000,Conference,Y,300,New Westminster,159,20,Y
10/13/2015,23,4000,Big Sister Program,Y,100,West Vancouver,446,50,Y
4/16/2015,20,4000,Cultural event,Y,200,Vancouver,123,30,Y
9/5/2015,18,1000,Community Visitor,Y,500,Maple Ridge,431,50,N
3/10/2015,33,4000,Survey,Y,500,New Westminster,291,20,Y
5/22/2015,19,4000,Urban Native Youth Association,Y,300,New Westminster,112,50,Y
10/8/2015,28,4000,Market Volunteer,Y,200,New Westminster,402,40,Y
4/28/2015,18,3000,Concert,Y,600,Maple Ridge,279,40,Y
3/26/2015,25,3000,Fundraising,Y,500,North Vancouver,123,40,Y
4/3/2015,35,4000,Fundraising,Y,100,Burnaby,63,50,Y
1/26/2015,37,3000,Fundraising,Y,400,West Vancouver,334,40,Y
4/9/2015,22,4000,Chamber of Commerce,Y,500,Vancouver,88,50,Y
8/24/2015,30,1000,Cultural event,Y,300,Burnaby,129,10,Y
7/5/2015,11,1000,Cultural event,Y,100,Maple Ridge,118,50,Y
1/9/2015,22,2000,Office Volunteer,Y,50,Richmond,402,20,Y
5/3/2015,24,1000,Charitable Donations,Y,200,New Westminster,412,40,Y
6/18/2015,34,4000,Special Event,N,600,Burnaby,366,40,N
7/20/2015,34,3000,Training,Y,400,Burnaby,134,10,Y
2/17/2015,14,3000,Visual Arts Committee,Y,600,North Vancouver,340,40,Y
3/25/2015,16,4000,Concert,Y,300,Vancouver,445,20,Y
10/26/2015,30,1000,Survey,Y,400,Vancouver,68,40,Y
5/28/2015,32,3000,Cultural event,Y,400,Burnaby,203,40,Y
3/21/2015,14,1000,Charitable Donations,Y,50,Langley,443,50,Y
8/13/2015,14,1000,Equipment Sorter,Y,200,Langley,44,20,Y
5/25/2015,26,4000,Urban Native Youth Association,Y,600,West Vancouver,252,10,Y
6/1/2015,12,3000,Contest,Y,200,Langley,396,50,Y
2/5/2015,10,4000,Study buddy Tutor,Y,400,Coquitlam,299,30,Y
7/10/2015,28,2000,Childcare,Y,500,North Vancouver,207,40,Y
6/3/2015,30,1000,Seniors Centre Volunteer,Y,500,Coquitlam,446,10,Y
4/23/2015,40,3000,Childen Program,Y,500,Langley,287,50,Y
1/11/2015,26,4000,Training,Y,50,Richmond,352,50,Y
5/20/2015,26,1000,Childcare,Y,600,Richmond,326,50,Y
9/5/2015,25,3000,Party,Y,200,Maple Ridge,487,50,Y
4/8/2015,12,3000,Charitable Donations,Y,400,Burnaby,412,30,N
8/27/2015,17,4000,Competition,Y,50,Coquitlam,453,30,Y
6/21/2015,36,3000,Survey,Y,300,Burnaby,36,40,Y
5/10/2015,14,3000,Office Volunteer,Y,400,North Vancouver,377,40,Y
6/26/2015,18,4000,Fundraising,Y,600,Langley,22,50,Y
3/3/2015,17,1000,Childen Program,Y,300,Maple Ridge,497,50,Y
4/21/2015,39,1000,Special Event,N,500,North Vancouver,265,10,Y
1/4/2015,32,4000,Chamber of Commerce,Y,100,West Vancouver,483,30,Y
1/11/2015,18,3000,Special Event,Y,600,Vancouver,173,20,Y
1/5/2015,30,3000,In-School Mentor,Y,400,Burnaby,386,20,Y
1/14/2015,33,1000,Visual Arts Committee,Y,100,Vancouver,183,30,Y
10/19/2015,38,4000,Chamber of Commerce,Y,200,Coquitlam,217,40,Y
10/3/2015,25,1000,Development Volunteer,Y,400,Coquitlam,228,20,Y
1/10/2015,36,3000,Social Media,Y,600,New Westminster,323,30,Y
9/17/2015,12,4000,Urban Native Youth Association,Y,400,New Westminster,333,40,Y
3/10/2015,27,4000,Chamber of Commerce,N,300,Burnaby,117,50,N
3/24/2015,23,3000,Market Volunteer,Y,200,Maple Ridge,54,30,Y
4/12/2015,12,2000,Survey,Y,200,New Westminster,267,40,Y
7/16/2015,30,2000,Conference,Y,500,Vancouver,480,20,Y
3/14/2015,31,1000,Childen Program,Y,50,Richmond,219,30,Y
7/16/2015,37,1000,Recreation Assistants,Y,300,Langley,360,30,Y
3/28/2015,20,3000,Conference,Y,600,West Vancouver,463,10,Y
1/14/2015,40,2000,Nature House Volunteer,N,50,Coquitlam,361,50,Y
9/9/2015,28,2000,Graphic Design,Y,500,Richmond,314,50,Y
4/20/2015,13,4000,Chamber of Commerce,Y,500,Vancouver,32,20,N
2/10/2015,40,1000,Parade,N,50,New Westminster,30,20,N
9/1/2015,35,1000,Meals on Wheels Volunteer,Y,200,North Vancouver,439,20,Y
7/22/2015,30,1000,Childcare,Y,600,West Vancouver,476,50,Y
9/28/2015,28,4000,Childen Program,Y,200,Vancouver,268,30,Y
7/4/2015,37,3000,Big Sister Program,Y,300,New Westminster,183,50,Y
1/18/2015,11,1000,Fundraising,Y,300,Richmond,238,10,Y
8/12/2015,38,3000,Fitness Class,Y,500,New Westminster,200,20,Y
4/3/2015,15,3000,Community Visitor,Y,600,Maple Ridge,67,40,Y
2/18/2015,32,4000,Training,Y,300,Maple Ridge,131,40,Y
10/24/2015,29,3000,Concert,Y,200,Langley,280,10,Y
8/25/2015,36,2000,Chamber of Commerce,Y,100,Maple Ridge,40,30,Y
1/20/2015,36,3000,Cultural event,N,50,Coquitlam,448,10,Y
